frequency,time
0.0,0.0
64.599609375,0.046660003653910216
107.666015625,0.046660003653910216
581.396484375,0.046660003653910216
129.19921875,0.09332000730782043
279.931640625,0.09332000730782043
861.328125,0.09332000730782043
53.8330078125,0.13998001096173066
258.3984375,0.13998001096173066
53.8330078125,0.18664001461564086
107.666015625,0.18664001461564086
279.931640625,0.18664001461564086
64.599609375,0.23330001826955107
290.6982421875,0.23330001826955107
430.6640625,0.23330001826955107
86.1328125,0.2799600219234613
139.9658203125,0.2799600219234613
53.8330078125,0.3266200255773715
290.6982421875,0.3266200255773715
64.599609375,0.37328002923128173
290.6982421875,0.37328002923128173
96.8994140625,0.41994003288519194
139.9658203125,0.41994003288519194
570.6298828125,0.41994003288519194
290.6982421875,0.46660003653910215
581.396484375,0.46660003653910215
990.52734375,0.46660003653910215
53.8330078125,0.5132600401930124
269.1650390625,0.5132600401930124
656.7626953125,0.5132600401930124
53.8330078125,0.5599200438469226
204.5654296875,0.5599200438469226
279.931640625,0.5599200438469226
570.6298828125,0.5599200438469226
64.599609375,0.6065800475008328
150.732421875,0.6065800475008328
419.8974609375,0.6065800475008328
570.6298828125,0.6065800475008328
53.8330078125,0.653240051154743
107.666015625,0.653240051154743
322.998046875,0.653240051154743
43.06640625,0.6999000548086532
107.666015625,0.6999000548086532
322.998046875,0.6999000548086532
570.6298828125,0.6999000548086532
96.8994140625,0.7465600584625635
139.9658203125,0.7465600584625635
1001.2939453125,0.7465600584625635
53.8330078125,0.7932200621164737
139.9658203125,0.7932200621164737
279.931640625,0.7932200621164737
570.6298828125,0.7932200621164737
53.8330078125,0.8398800657703839
107.666015625,0.8398800657703839
96.8994140625,0.8865400694242941
118.4326171875,0.8865400694242941
118.4326171875,0.9332000730782043
236.865234375,0.9332000730782043
150.732421875,0.9798600767321145
269.1650390625,0.9798600767321145
161.4990234375,1.0265200803860248
322.998046875,1.0265200803860248
172.265625,1.073180084039935
172.265625,1.1198400876938452
150.732421875,1.1665000913477555
279.931640625,1.1665000913477555
172.265625,1.2131600950016657
172.265625,1.2598200986555759
172.265625,1.306480102309486
161.4990234375,1.3531401059633963
161.4990234375,1.3998001096173065
172.265625,1.4464601132712167
172.265625,1.493120116925127
172.265625,1.5397801205790371
172.265625,1.5864401242329473
53.8330078125,1.6331001278868575
183.0322265625,1.6331001278868575
193.798828125,1.6797601315407678
376.8310546875,1.6797601315407678
570.6298828125,1.6797601315407678
193.798828125,1.726420135194678
581.396484375,1.726420135194678
204.5654296875,1.7730801388485882
215.33203125,1.7730801388485882
193.798828125,1.8197401425024984
387.59765625,1.8197401425024984
581.396484375,1.8197401425024984
183.0322265625,1.8664001461564086
366.064453125,1.8664001461564086
183.0322265625,1.9130601498103188
366.064453125,1.9130601498103188
161.4990234375,1.959720153464229
279.931640625,1.959720153464229
150.732421875,2.0063801571181394
279.931640625,2.0063801571181394
32.2998046875,2.0530401607720496
161.4990234375,2.0530401607720496
96.8994140625,2.09970016442596
172.265625,2.09970016442596
161.4990234375,2.14636016807987
322.998046875,2.14636016807987
161.4990234375,2.1930201717337803
322.998046875,2.1930201717337803
172.265625,2.2396801753876905
161.4990234375,2.2863401790416007
172.265625,2.333000182695511
172.265625,2.379660186349421
183.0322265625,2.4263201900033313
1076.66015625,2.4263201900033313
204.5654296875,2.4729801936572415
215.33203125,2.4729801936572415
204.5654296875,2.5196401973111517
215.33203125,2.5196401973111517
236.865234375,2.566300200965062
247.6318359375,2.612960204618972
247.6318359375,2.6596202082728824
247.6318359375,2.7062802119267926
495.263671875,2.7062802119267926
247.6318359375,2.752940215580703
495.263671875,2.752940215580703
204.5654296875,2.799600219234613
236.865234375,2.799600219234613
506.0302734375,2.799600219234613
247.6318359375,2.846260222888523
3929.8095703125,2.846260222888523
258.3984375,2.8929202265424334
516.796875,2.8929202265424334
258.3984375,2.9395802301963436
258.3984375,2.986240233850254
247.6318359375,3.032900237504164
204.5654296875,3.0795602411580743
215.33203125,3.0795602411580743
193.798828125,3.1262202448119845
215.33203125,3.1262202448119845
226.0986328125,3.1728802484658947
204.5654296875,3.219540252119805
215.33203125,3.219540252119805
193.798828125,3.266200255773715
387.59765625,3.266200255773715
204.5654296875,3.3128602594276253
215.33203125,3.3128602594276253
193.798828125,3.3595202630815355
387.59765625,3.3595202630815355
183.0322265625,3.4061802667354457
376.8310546875,3.4061802667354457
193.798828125,3.452840270389356
387.59765625,3.452840270389356
193.798828125,3.499500274043266
387.59765625,3.499500274043266
193.798828125,3.5461602776971763
387.59765625,3.5461602776971763
53.8330078125,3.5928202813510866
193.798828125,3.5928202813510866
215.33203125,3.5928202813510866
204.5654296875,3.6394802850049968
409.130859375,3.6394802850049968
204.5654296875,3.686140288658907
419.8974609375,3.686140288658907
204.5654296875,3.732800292312817
215.33203125,3.732800292312817
193.798828125,3.7794602959667274
215.33203125,3.7794602959667274
172.265625,3.8261202996206376
333.7646484375,3.8261202996206376
172.265625,3.872780303274548
193.798828125,3.919440306928458
387.59765625,3.919440306928458
183.0322265625,3.9661003105823682
366.064453125,3.9661003105823682
193.798828125,4.012760314236279
376.8310546875,4.012760314236279
183.0322265625,4.059420317890189
193.798828125,4.106080321544099
193.798828125,4.1527403251980095
193.798828125,4.19940032885192
204.5654296875,4.24606033250583
215.33203125,4.24606033250583
204.5654296875,4.29272033615974
226.0986328125,4.29272033615974
204.5654296875,4.33938033981365
215.33203125,4.33938033981365
204.5654296875,4.3860403434675606
215.33203125,4.3860403434675606
215.33203125,4.432700347121471
430.6640625,4.432700347121471
204.5654296875,4.479360350775381
215.33203125,4.479360350775381
161.4990234375,4.526020354429291
172.265625,4.572680358083201
204.5654296875,4.619340361737112
215.33203125,4.619340361737112
193.798828125,4.666000365391022
183.0322265625,4.712660369044932
376.8310546875,4.712660369044932
172.265625,4.759320372698842
172.265625,4.805980376352752
129.19921875,4.852640380006663
376.8310546875,4.852640380006663
645.99609375,4.852640380006663
968.994140625,4.852640380006663
64.599609375,4.899300383660573
215.33203125,4.899300383660573
96.8994140625,4.945960387314483
139.9658203125,4.945960387314483
419.8974609375,4.945960387314483
96.8994140625,4.992620390968393
193.798828125,4.992620390968393
290.6982421875,4.992620390968393
53.8330078125,5.0392803946223035
107.666015625,5.0392803946223035
376.8310546875,5.0392803946223035
850.5615234375,5.0392803946223035
64.599609375,5.085940398276214
139.9658203125,5.085940398276214
312.2314453125,5.085940398276214
990.52734375,5.085940398276214
96.8994140625,5.132600401930124
107.666015625,5.132600401930124
290.6982421875,5.132600401930124
43.06640625,5.179260405584034
139.9658203125,5.179260405584034
495.263671875,5.179260405584034
64.599609375,5.225920409237944
204.5654296875,5.225920409237944
215.33203125,5.225920409237944
452.197265625,5.225920409237944
150.732421875,5.2725804128918545
161.4990234375,5.319240416545765
161.4990234375,5.365900420199675
312.2314453125,5.365900420199675
161.4990234375,5.412560423853585
53.8330078125,5.459220427507495
161.4990234375,5.459220427507495
96.8994140625,5.505880431161406
204.5654296875,5.505880431161406
366.064453125,5.505880431161406
2454.78515625,5.505880431161406
96.8994140625,5.552540434815316
139.9658203125,5.552540434815316
409.130859375,5.552540434815316
96.8994140625,5.599200438469226
118.4326171875,5.599200438469226
236.865234375,5.599200438469226
129.19921875,5.645860442123136
247.6318359375,5.645860442123136
129.19921875,5.692520445777046
258.3984375,5.692520445777046
129.19921875,5.739180449430957
247.6318359375,5.739180449430957
118.4326171875,5.785840453084867
236.865234375,5.785840453084867
107.666015625,5.832500456738777
226.0986328125,5.832500456738777
96.8994140625,5.879160460392687
107.666015625,5.879160460392687
215.33203125,5.879160460392687
107.666015625,5.9258204640465975
226.0986328125,5.9258204640465975
107.666015625,5.972480467700508
226.0986328125,5.972480467700508
118.4326171875,6.019140471354418
236.865234375,6.019140471354418
118.4326171875,6.065800475008328
236.865234375,6.065800475008328
118.4326171875,6.112460478662238
236.865234375,6.112460478662238
129.19921875,6.1591204823161485
269.1650390625,6.1591204823161485
269.1650390625,6.205780485970059
269.1650390625,6.252440489623969
1345.8251953125,6.252440489623969
139.9658203125,6.299100493277879
269.1650390625,6.299100493277879
150.732421875,6.345760496931789
258.3984375,6.345760496931789
139.9658203125,6.3924205005856995
279.931640625,6.3924205005856995
430.6640625,6.3924205005856995
150.732421875,6.43908050423961
290.6982421875,6.43908050423961
96.8994140625,6.48574050789352
139.9658203125,6.48574050789352
290.6982421875,6.48574050789352
43.06640625,6.53240051154743
150.732421875,6.53240051154743
290.6982421875,6.53240051154743
53.8330078125,6.57906051520134
150.732421875,6.57906051520134
75.3662109375,6.625720518855251
139.9658203125,6.625720518855251
333.7646484375,6.625720518855251
53.8330078125,6.672380522509161
139.9658203125,6.672380522509161
322.998046875,6.672380522509161
570.6298828125,6.672380522509161
53.8330078125,6.719040526163071
452.197265625,6.719040526163071
32.2998046875,6.765700529816981
139.9658203125,6.765700529816981
226.0986328125,6.765700529816981
32.2998046875,6.812360533470891
204.5654296875,6.812360533470891
215.33203125,6.812360533470891
570.6298828125,6.812360533470891
96.8994140625,6.859020537124802
107.666015625,6.859020537124802
355.2978515625,6.859020537124802
839.794921875,6.859020537124802
96.8994140625,6.905680540778712
279.931640625,6.905680540778712
559.86328125,6.905680540778712
53.8330078125,6.952340544432622
107.666015625,6.952340544432622
710.595703125,6.952340544432622
96.8994140625,6.999000548086532
107.666015625,6.999000548086532
21.533203125,7.0456605517404425
107.666015625,7.0456605517404425
258.3984375,7.0456605517404425
53.8330078125,7.092320555394353
96.8994140625,7.138980559048263
107.666015625,7.138980559048263
419.8974609375,7.138980559048263
430.6640625,7.138980559048263
96.8994140625,7.185640562702173
107.666015625,7.185640562702173
53.8330078125,7.232300566356083
183.0322265625,7.232300566356083
1055.126953125,7.232300566356083
53.8330078125,7.2789605700099935
452.197265625,7.2789605700099935
53.8330078125,7.325620573663904
215.33203125,7.325620573663904
559.86328125,7.325620573663904
53.8330078125,7.372280577317814
129.19921875,7.372280577317814
473.73046875,7.372280577317814
53.8330078125,7.418940580971724
409.130859375,7.418940580971724
